Temperature,Humidity,Measure1,Measure2,Measure3,Measure4,Measure5,Failure
65,82,891,2,0,1545,235,No
61,80,1680,2,0,541,963,No
60,77,1134,1,1,1146,1309,No
61,78,2002,1,2,1724,1105,No
63,79,722,3,0,1585,409,No
64,80,720,0,0,1098,877,No
62,82,185,1,2,1050,1177,No
61,78,1629,0,2,853,908,No
67,81,1612,2,1,1991,273,No
66,83,452,3,1,861,1374,No
61,80,1539,3,0,659,1748,No
61,81,1638,2,0,1861,1782,No
60,80,1877,2,2,234,520,No
62,75,962,3,1,563,1588,No
62,85,1064,0,1,565,985,No
61,78,1234,2,2,625,225,No
65,84,697,3,0,1509,744,No
66,77,1502,2,0,684,789,No
62,83,701,0,0,1110,1809,No
60,84,1006,0,2,1829,1622,No
64,84,1394,3,2,1183,511,No
67,81,164,2,2,1576,1359,No
66,80,503,2,2,1139,1556,No
66,85,1325,0,2,911,1749,No
63,82,1207,1,2,1844,1787,No
62,82,1377,0,0,1090,1766,No
68,75,1313,1,2,416,1399,No
64,81,1325,2,2,1884,1457,No
64,82,1401,2,1,1817,189,No
67,85,196,0,0,1415,1440,No
65,76,1999,1,0,1904,1174,No
64,80,515,2,0,1000,494,No
66,79,1993,3,2,1456,363,No
66,85,972,2,1,1044,241,No
64,77,907,0,1,611,1504,No
68,79,1881,1,1,741,1851,No
66,77,702,3,1,715,991,No
67,83,1911,0,0,724,964,No
65,83,1429,3,1,1400,1846,No
62,80,1516,0,2,311,707,No
68,82,629,1,0,1833,1527,No
61,85,1000,1,2,1422,1568,No
63,84,1206,2,0,1179,1239,No
61,77,1316,0,0,1422,1995,No
60,81,222,1,0,907,372,No
64,79,1204,0,1,1924,781,No
66,75,388,3,2,1928,428,No
65,84,1242,2,0,1757,962,No
61,82,1413,2,2,477,1161,No
64,82,956,2,0,852,952,No
67,81,1529,2,1,949,1526,No
66,78,1710,1,2,1468,198,No
63,76,1441,3,2,1321,729,No
66,84,1570,1,0,176,1931,No
67,80,374,0,1,1526,1819,No
65,78,407,2,2,1502,955,No
68,80,1851,2,0,753,1257,No
66,79,837,2,0,760,1555,No
67,75,260,1,2,284,1156,No
68,81,1078,2,1,792,281,No
68,79,1948,2,2,1580,546,No
67,77,1405,2,2,881,1974,No
62,82,239,1,2,1255,1052,No
64,85,716,3,0,1236,1736,No
63,79,323,0,0,1661,170,No
60,76,777,3,2,1938,1373,No
63,82,1028,1,1,1755,325,No
64,79,483,1,1,1767,1551,No
68,83,1666,0,2,1304,1920,No
65,80,158,0,0,804,421,No
63,81,1868,3,1,1445,1830,No
64,77,774,2,1,1450,888,No
64,77,1070,2,1,610,1536,No
63,83,1926,0,0,1411,1009,No
62,84,255,1,0,1458,346,No
65,82,1949,3,1,764,635,No
66,75,1827,2,1,159,1756,No
65,85,664,2,0,1198,755,No
62,85,1194,1,1,852,1365,No
64,82,925,2,1,618,1503,No
68,80,1774,0,1,1009,549,No
68,82,545,0,1,507,1974,No
66,78,1955,3,2,1469,679,No
68,82,1023,3,0,411,602,No
64,77,1094,2,2,965,402,No
68,79,624,3,1,1645,1989,No
67,76,1615,2,2,845,1660,No
62,77,1497,2,2,1578,298,No
60,84,397,3,0,282,1120,No
64,82,1551,2,0,629,561,No
63,76,1766,3,1,1033,1477,No
66,77,879,3,2,1766,1603,No
62,79,1533,1,0,1153,1133,No
64,84,1017,2,1,1695,489,No
65,81,1467,1,2,384,964,No
61,79,916,3,0,1535,497,No
65,84,639,3,1,1152,1787,No
61,76,1719,1,1,246,402,No
61,81,1100,2,2,1816,1508,No
67,83,373,3,2,1993,502,No
62,82,1096,3,0,854,1101,No
63,85,1644,0,2,406,893,No
68,77,738,2,0,1976,1585,No
61,77,891,1,0,1516,1638,No
66,80,182,3,0,1939,792,No
68,80,1324,2,1,960,628,No
64,78,458,2,2,1948,1047,No
60,81,327,1,0,387,312,No
64,85,791,1,0,322,1535,No
61,81,396,0,0,1097,176,No
60,78,1694,1,2,1887,1167,No
62,75,1120,3,1,936,1661,No
62,75,951,0,1,941,913,No
64,83,1650,1,2,1794,1487,No
68,76,567,0,1,1203,861,No
62,75,533,0,0,1149,1272,No
60,77,1788,3,1,636,1310,No
63,75,1000,2,1,1267,520,No
60,76,1031,0,1,970,1627,No
60,82,1495,1,1,286,884,No
61,79,1218,0,1,1904,458,No
60,81,1684,0,0,1067,1888,No
65,81,648,0,1,1252,1500,No
62,75,826,1,2,1047,1458,No
60,84,1013,0,2,1876,297,No
68,82,1205,2,0,1897,395,No
67,82,188,3,0,1313,1174,No
60,85,263,3,1,363,308,No
62,77,1273,2,1,750,1973,No
62,81,1212,1,0,1869,1863,No
66,82,1328,0,2,974,709,No
60,80,1175,2,1,1246,1911,No
64,76,1863,3,1,517,1887,No
62,75,209,1,0,392,560,No
60,85,1752,1,1,704,198,No
65,84,681,0,2,403,820,No
64,78,1887,0,2,1805,187,No
65,80,1464,1,0,1383,1527,No
67,76,858,1,0,177,893,No
61,84,2010,1,1,797,408,No
68,77,1347,3,0,489,404,No
68,84,601,2,0,1964,432,No
64,85,505,2,2,1574,811,No
65,81,932,0,2,1960,218,No
62,81,1599,1,0,1806,985,No
66,80,1149,3,1,968,1738,No
61,81,1769,3,0,895,1654,No
66,81,1746,2,0,1702,1334,No
61,78,1858,3,0,1545,1918,No
65,84,1043,1,1,958,930,No
66,83,528,0,0,635,1347,No
67,76,1538,3,2,1174,1555,No
63,85,845,0,1,1213,452,No
64,85,1020,3,1,761,1237,No
68,75,1182,3,0,229,801,No
65,77,1852,1,0,1936,1127,No
63,78,675,2,2,1575,899,No
68,80,486,3,1,1277,1834,No
67,85,1500,0,1,1149,1253,No
61,78,719,2,1,514,1726,No
66,75,398,1,2,470,1629,No
68,78,1320,3,2,682,1889,No
65,80,528,2,0,312,1973,No
67,84,287,1,2,1978,1649,No
68,83,724,3,2,1871,834,No
68,76,163,0,2,928,1768,No
61,80,522,1,1,596,803,No
66,84,1648,2,0,1390,707,No
61,81,600,0,0,245,239,No
65,85,547,3,2,1984,1227,No
67,82,1349,2,2,354,1479,No
66,77,1278,1,1,1893,1245,No
64,77,2007,3,1,316,1391,No
66,82,1778,3,2,1863,1162,No
68,78,1492,0,2,544,504,No
62,78,983,2,2,992,879,No
65,82,1386,3,2,1393,903,No
62,81,1209,0,0,1772,546,No
64,75,1228,0,1,484,1820,No
62,82,1003,2,2,1749,473,No
67,83,1481,0,0,1436,842,No
65,75,792,2,1,1843,1875,No
63,84,1073,1,2,411,1391,No
61,80,178,1,1,731,759,No
62,81,907,3,1,587,1789,No
61,78,1094,1,1,588,1400,No
64,77,1473,1,2,1450,323,No
64,79,1775,1,2,1567,1007,No
65,78,529,2,0,892,375,No
65,77,1796,2,0,1655,1642,No
64,84,1353,1,0,1218,691,No
62,76,1672,0,0,302,1194,No
60,81,596,0,0,1165,608,No
63,81,221,3,2,1168,879,No
65,84,1541,0,1,668,162,No
64,81,1618,2,1,1766,323,No
61,85,1303,2,2,1379,1637,No
65,75,1202,0,1,1224,170,No
66,81,1022,0,1,211,1846,No
68,76,1764,2,0,224,594,No
65,83,942,2,1,1930,640,No
64,81,853,3,2,1833,533,No
67,80,294,2,1,1136,1455,No
60,85,391,0,0,406,1847,No
60,85,1033,1,1,1891,469,No
63,77,1428,1,0,1433,1839,No
66,79,1643,2,1,1527,276,No
60,80,781,1,0,1664,1225,No
67,82,800,2,1,1636,767,No
66,77,796,1,2,1598,1633,No
64,76,929,0,2,1326,1593,No
61,78,1026,1,0,950,1730,No
65,76,1831,1,0,1214,1907,No
66,76,727,1,0,331,1229,No
65,83,975,0,1,1781,1360,No
64,75,250,3,2,631,965,No
63,83,1154,0,0,1824,275,No
62,75,1346,1,0,847,826,No
63,77,953,0,2,1242,1023,No
62,76,460,2,1,616,1297,No
66,77,949,1,0,559,1268,No
65,78,900,3,2,1385,1788,No
64,81,1979,3,1,1362,1274,No
67,75,349,3,0,1995,927,No
63,83,271,1,1,1520,215,No
64,78,806,3,0,915,1594,No
65,82,751,3,2,664,1969,No
65,79,742,0,1,828,807,No
68,77,1648,1,1,281,1808,No
68,82,382,3,1,360,478,No
68,82,1799,0,0,1249,468,No
66,78,375,0,0,1343,597,No
60,76,341,3,2,1945,1763,No
65,77,266,3,2,1321,1830,No
60,81,748,2,2,1566,299,No
64,84,1159,3,2,1790,807,No
68,77,667,1,0,466,1438,No
67,79,711,0,1,274,1012,No
63,80,1079,3,2,519,1960,No
67,79,859,0,1,1536,1381,No
60,75,1173,1,1,394,1455,No
66,77,1079,0,0,1595,934,No
66,77,1275,2,2,576,1129,No
63,79,910,3,0,748,869,No
64,77,1249,1,1,635,372,No
66,77,1166,2,0,1846,1611,No
63,77,1466,2,2,1037,329,No
65,85,1357,2,1,1939,1201,No
63,75,230,3,1,1028,815,No
67,81,719,3,0,408,835,No
65,83,1797,0,0,707,197,No
64,81,277,1,2,1703,456,No
61,85,1660,0,2,388,1165,No
63,85,1005,2,2,1488,604,No
67,82,1715,3,0,1678,1002,No
63,84,1380,1,1,347,562,No
61,75,809,1,2,1688,483,No
67,80,693,3,2,717,731,No
64,80,1398,0,1,612,623,No
62,78,213,2,2,222,1216,No
60,78,1198,1,2,794,1368,No
62,80,1445,2,0,1817,1279,No
60,75,510,1,0,1422,384,No
61,81,1760,0,1,1513,770,No
65,83,201,0,0,1769,197,No
60,75,1313,0,2,1692,1331,No
67,78,852,3,2,313,366,No
64,85,1318,0,0,1399,452,No
68,78,738,0,1,246,1293,No
64,76,1888,1,1,1914,529,No
68,83,1781,0,0,1425,1878,No
61,78,1278,1,2,1827,1598,No
62,78,1147,2,2,1406,956,No
65,84,494,1,1,1999,1356,No
65,75,393,1,0,782,722,No
67,85,1651,2,1,898,1025,No
63,77,754,0,2,1199,1111,No
65,85,1947,0,2,1108,1796,No
60,81,1430,3,1,1124,1665,No
62,82,1799,3,2,487,1402,No
71,65,576,0,0,1074,1568,Yes
72,67,935,3,0,1228,1226,Yes
70,68,1479,0,1,738,1686,Yes
66,77,276,3,1,1517,952,No
65,85,339,3,0,1185,1658,No
66,79,751,1,1,1891,1391,No
67,82,1869,2,2,1114,1752,No
63,80,1456,1,1,1516,359,No
63,80,1232,1,1,295,1328,No
65,77,1802,1,2,747,1207,No
64,77,1626,3,1,236,813,No
65,77,1980,2,1,526,1917,No
66,79,642,2,1,282,1666,No
64,77,437,3,1,533,1824,No
62,77,1249,3,2,1607,1734,No
67,82,1142,0,2,266,157,No
60,84,603,1,1,866,879,No
63,80,1300,2,0,1089,1895,No
62,75,1979,1,1,1859,248,No
61,81,646,1,1,555,1733,No
63,85,575,0,1,947,1843,No
67,85,987,1,1,998,1435,No
61,76,489,2,1,1345,1602,No
62,82,556,3,0,1071,1256,No
64,78,1564,2,0,1909,298,No
68,78,1816,3,1,1610,1904,No
65,79,528,0,2,793,1609,No
60,76,1480,3,0,817,1007,No
62,75,855,0,2,1113,769,No
68,75,762,0,1,394,1562,No
71,77,1559,2,1,1990,570,No
67,77,838,0,0,1322,1005,No
68,83,335,3,0,502,1226,No
60,81,251,0,0,1812,1310,No
60,78,654,3,1,1683,592,No
63,76,1138,2,1,539,911,No
66,84,1070,3,2,1340,1200,No
60,75,215,2,2,314,1575,No
65,83,481,2,1,1217,514,No
66,81,1378,1,2,990,406,No
67,78,685,3,1,1154,1969,No
66,83,1080,2,2,454,672,No
67,82,587,1,1,767,1159,No
65,75,1948,2,2,962,1355,No
64,83,1053,2,1,1731,530,No
61,76,416,1,0,1704,1550,No
65,76,1866,1,2,1464,1074,No
60,79,1923,1,2,1376,480,No
60,77,361,2,1,2000,1378,No
61,81,238,2,2,617,1032,No
60,82,1081,3,2,1011,1646,No
68,78,864,0,2,1330,560,No
68,78,1724,1,2,1766,1937,No
66,84,1016,2,2,1548,232,No
65,80,1741,0,2,1477,1687,No
60,75,1993,3,1,1822,707,No
60,75,1182,0,1,404,484,No
66,82,1659,1,0,364,247,No
62,83,744,1,2,1064,1712,No
61,85,383,0,1,1173,287,No
66,75,1097,0,0,1162,730,No
66,82,965,2,1,1856,1758,No
64,77,396,1,0,1876,407,No
61,77,1673,0,1,1784,349,No
64,80,1670,0,1,607,504,No
67,76,1286,3,0,1595,1884,No
61,75,1586,1,0,483,485,No
65,85,1508,2,1,651,1506,No
65,77,1713,3,0,897,919,No
68,84,1458,2,2,255,776,No
64,82,1569,2,2,1152,1750,No
60,78,1670,3,0,782,222,No
67,84,1540,3,0,909,960,No
68,85,1947,2,1,773,1527,No
67,75,1753,3,1,237,700,No
66,77,2009,0,0,1064,1062,No
63,84,694,0,2,374,1960,No
63,77,928,2,2,318,506,No
68,77,254,3,0,166,988,No
60,80,1330,1,0,871,1024,No
62,77,1510,1,0,1770,1137,No
64,83,814,3,0,161,1295,No
65,78,454,0,1,1802,813,No
66,80,947,3,2,1082,1314,No
68,78,275,0,2,1266,865,No
66,80,1411,0,2,1637,800,No
66,79,1136,3,2,1735,654,No
62,81,820,1,2,618,1159,No
61,77,1493,2,2,1644,794,No
61,80,1580,0,1,1770,718,No
64,77,1144,0,0,462,243,No
65,82,1503,1,2,822,2010,No
63,77,199,1,0,853,507,No
62,85,1524,0,0,1447,1212,No
63,76,1567,1,1,1200,205,No
66,75,1870,3,2,311,1095,No
62,76,481,0,0,889,1734,No
60,75,1976,1,0,1508,1691,No
63,77,1851,3,0,497,1157,No
67,75,1222,2,2,1630,532,No
67,81,244,0,1,250,454,No
61,84,793,2,0,1724,1546,No
63,79,267,2,0,554,353,No
65,83,1900,2,0,1808,445,No
63,75,1746,0,0,2006,1982,No
66,85,162,0,2,1862,926,No
68,75,488,1,1,467,400,No
65,85,1382,2,2,1373,385,No
66,76,954,1,1,648,1797,No
66,76,584,2,0,522,1916,No
65,76,509,3,1,1158,1285,No
66,77,998,1,1,1533,1981,No
66,80,564,0,0,994,1442,No
64,85,1532,3,1,332,1822,No
61,83,1784,2,2,1289,457,No
62,84,1796,0,0,1205,323,No
67,78,1285,3,0,1041,1270,No
62,77,387,3,1,1825,1946,No
61,77,1380,0,0,547,1630,No
65,75,1589,2,1,720,752,No
68,76,531,1,1,632,1741,No
66,79,1175,1,0,1105,1192,No
67,75,1988,2,1,1770,643,No
65,83,1844,3,1,747,1612,No
66,84,810,2,2,1650,525,No
66,82,1247,0,2,934,645,No
62,76,291,1,0,1454,1024,No
63,75,2005,2,0,1426,1901,No
63,82,626,1,0,481,1118,No
67,75,436,0,0,169,707,No
68,81,1104,1,1,520,1819,No
66,84,634,3,1,498,1916,No
62,75,603,0,2,1135,1502,No
62,84,1623,1,0,418,1835,No
60,80,363,2,0,597,1744,No
62,82,604,1,0,1557,1302,No
60,84,1841,0,0,1397,1636,No
64,83,1852,2,0,1911,720,No
65,76,1172,3,1,910,500,No
68,84,1981,0,2,921,1409,No
68,79,1508,3,1,1840,809,No
66,79,708,2,1,1458,196,No
66,78,338,0,1,735,1605,No
60,80,1972,0,0,790,1445,No
66,81,1953,1,0,1456,983,No
65,79,1129,1,2,1686,1887,No
67,82,430,1,2,1108,1925,No
64,79,651,0,0,670,547,No
66,75,663,0,2,1978,436,No
63,78,857,3,2,1436,463,No
62,76,600,1,0,879,907,No
63,79,1380,2,2,994,952,No
66,81,1484,2,2,1174,1362,Yes
65,85,1989,2,2,1075,1896,No
60,82,248,0,2,1902,1076,No
63,81,1360,2,0,869,1982,No
65,76,1352,2,1,1885,1753,No
63,85,1502,2,0,611,1316,No
62,79,1032,1,2,812,1048,No
64,81,1173,2,1,525,370,No
61,80,952,1,2,775,1259,No
64,85,1741,2,0,292,1231,No
68,77,1289,3,1,548,1132,No
68,84,1550,1,2,1678,1974,No
66,82,759,0,1,1545,158,No
61,75,1025,2,1,180,1903,No
64,81,1000,1,1,1929,1796,No
66,85,212,2,1,1465,970,No
61,78,1325,3,1,833,1802,No
60,83,1198,1,2,444,432,No
63,85,428,2,0,1262,202,No
61,85,941,3,0,527,1595,No
61,81,207,3,0,288,332,No
67,81,1321,2,1,838,1001,No
63,79,1647,2,2,1941,965,No
61,76,1354,1,1,763,525,No
65,79,1894,1,2,174,180,No
62,76,1617,0,2,1464,1615,No
60,81,514,3,0,279,1559,No
62,77,336,3,1,1380,1417,No
63,75,836,3,1,551,1394,No
65,76,1116,3,1,1066,1391,No
64,83,1569,1,1,400,633,No
66,82,470,2,2,745,1162,No
62,78,713,1,1,1405,527,No
68,75,1741,0,2,195,629,No
65,76,1824,2,1,1656,1003,No
65,84,826,0,1,2007,555,No
62,76,495,2,1,1615,767,No
66,85,1381,1,0,1395,1543,No
61,75,737,0,0,1292,1037,No
63,77,436,3,1,1632,1952,No
63,81,1495,3,1,872,855,No
68,76,168,2,1,882,454,No
64,80,431,1,2,943,230,No
60,80,1680,2,1,1083,490,No
63,83,952,0,2,362,173,No
64,82,1393,3,0,731,1362,No
62,85,360,3,0,285,1084,No
62,77,1803,0,1,1281,1820,No
62,75,1193,1,2,1400,1503,No
62,80,204,1,1,1431,523,No
64,79,404,3,1,1537,1205,No
62,76,1930,3,2,1528,1121,No
63,80,461,1,1,792,1281,No
64,79,640,3,1,673,419,No
67,77,1328,1,1,966,1899,No
60,81,1348,2,1,791,194,No
60,76,1519,3,0,445,329,No
68,81,1190,3,1,1141,1136,No
60,80,261,1,1,1503,266,No
63,78,791,0,0,969,305,No
61,83,1815,1,2,1957,1507,No
62,85,888,1,2,1744,1508,No
67,77,838,0,2,1698,893,No
68,80,1092,2,0,1957,1217,No
66,79,1972,2,0,894,397,No
63,79,1527,0,0,1411,1668,No
68,85,624,0,0,298,1430,No
68,76,281,2,1,541,215,No
66,75,1619,1,0,1664,328,No
62,80,1841,1,1,376,1423,No
62,81,622,3,0,1709,818,No
64,76,1429,2,2,1277,1650,No
64,78,1802,2,1,1916,1606,No
67,80,1530,3,2,786,1701,No
63,82,839,3,0,374,286,No
67,79,950,2,2,1058,1835,No
62,85,708,0,1,535,1270,No
68,75,1748,3,1,1621,1733,No
62,77,1781,2,1,994,704,No
61,78,730,2,1,285,1274,No
60,78,1378,1,1,1061,738,No
68,82,838,3,2,406,1036,No
64,81,518,1,0,197,1714,No
65,80,1143,3,1,1023,509,No
62,81,1235,1,2,1970,1128,No
65,82,1824,0,0,634,1257,No
64,79,1123,1,2,454,1787,No
65,81,1318,0,1,220,802,No
63,80,1329,3,0,1380,944,No
67,85,821,0,1,558,757,No
67,78,536,1,2,1903,1375,No
63,80,1174,2,1,939,1314,No
62,85,1498,0,0,981,731,No
67,80,1950,0,1,258,1787,No
62,84,1960,2,2,501,579,No
66,76,1083,3,0,1568,1728,No
63,79,564,3,2,1039,510,No
61,85,1361,1,1,757,1263,No
65,84,1734,1,2,644,1928,No
64,79,408,2,0,1068,999,No
63,82,933,2,0,711,182,No
66,83,1389,1,0,491,1865,No
68,85,239,2,1,1169,1007,No
67,84,1341,0,1,517,1700,No
68,81,1474,0,1,1168,980,No
66,76,1062,0,1,868,1274,No
68,76,740,2,1,816,221,No
64,75,1652,0,2,353,1946,No
68,85,1254,2,1,1526,1171,No
64,76,582,2,1,527,546,No
66,75,1827,1,0,216,1213,No
65,83,1660,1,0,1740,858,No
63,83,684,0,2,1092,446,No
62,84,1519,0,2,1965,1445,No
63,78,1453,1,2,1693,1772,No
67,81,1499,0,1,261,1639,No
68,76,269,0,2,1571,1764,No
66,82,1469,0,0,1594,1435,No
62,79,993,1,2,511,1332,No
62,82,496,3,1,490,980,No
63,75,626,0,2,466,981,No
